IP/HOST,PORT,GB/S,CONTINENT,COUNTRY,SITE,PROVIDER
160.242.19.254,9205-9240,,Africa,AO,Luanda,Paratus
41.110.39.130,5201,10,Africa,DZ,Algiers,DATAPACKET
213.158.175.240,5201,10,Africa,EG,Cairo,DATAPACKET
102.214.66.39,5201,2x10,Africa,GH,Accra,DATAPACKET
102.214.66.19,5201,2x10,Africa,GH,Accra,DATAPACKET
212.60.92.134,60001-60003,,Africa,GM,Banjul,Pura
105.235.237.2,5201-5209,,Africa,GQ,Bata,Guineanet
gw1.malabo.guineanet.net,5201-5209,,Africa,GQ,Bata,Guine@net
speed.mymanga.pro,9202-9240,,Africa,KE,Nairobi,Mymanga
speedtestfl.telecom.mu,5201-5209,,Africa,MU,Floreal,Mauritius Telecom
197.227.12.18,5201-5209,,Africa,MU,Floreal,Mauritius Telecom
41.210.185.162,5201,2x10,Africa,UG,Kampala,DATAPACKET
69.48.239.124,30003-30009,10,Africa,ZA,Johannesburg,FortiSASE
23.249.55.42,30003-30009,10,Asia,AE,Dubai,FortiSASE
69.48.238.200,30001-30009,10,Asia,AE,Dubai,FortiSASE
189.25.101.151,30001-30009,10,Asia,AE,Dubai,FortiSASE
189.25.97.217,30001-30009,10,Asia,AE,Dubai,FortiSASE
speedtest.hkg12.hk.leaseweb.net,5201-5210,10,Asia,HK,Hong Kong,LeaseWeb
84.17.57.129,5201,2x10,Asia,HK,Hong Kong,DATAPACKET
23.249.58.14,30003-30009,10,Asia,HK,Hong Kong,FortiSASE
speedtest.tangerang2.myrepublic.net.id,9201-9240,,Asia,ID,Kediri,MyRepublic
speed.netfiber.net.il,5201,1,Asia,IL,Jerusalem,Netfiber
speed.rimon.net.il,5201,1,Asia,IL,Jerusalem,Rimon
169.150.202.193,5201,2x10,Asia,IL,Tel Aviv,DATAPACKET
49.205.75.2,5008-5020,,Asia,IN,Bengaluru,ACT Fibernet
69.48.236.198,30001-30009,10,Asia,IN,Pune,FortiSASE
23.249.60.154,30001-30009,10,Asia,JP,Komagome,FortiSASE
speedtest.tyo11.jp.leaseweb.net,5201-5210,10,Asia,JP,Tokyo,LeaseWeb
89.187.160.1,5201,2x10,Asia,JP,Tokyo,DATAPACKET
66.35.31.81,30001-30009,10,Asia,JP,Tokyo,FortiSASE
coverage1.mobicom.mn,5201-5202,,Asia,MN,Ulaanbaatar,Mobicom
speedtest.sin1.sg.leaseweb.net,5201-5210,10,Asia,SG,Singapore,LeaseWeb
89.187.162.1,5201,2x10,Asia,SG,Singapore,DATAPACKET
sgp.proof.ovh.net,5201-5210,1,Asia,SG,Singapore,OVH
96.45.38.22,30001-30009,10,Asia,SG,Singapore,FortiSASE
176.23.128.102,30001-30009,10,Asia,SG,Singapore,FortiSASE
iperf.pendc.com,5201-5209,10,Asia,TR,Bursa,PENDC
156.146.52.1,5201,2x10,Asia,TR,Istanbul,DATAPACKET
69.48.237.66,30001-30009,10,Asia,TR,Istanbul,FortiSASE
189.25.98.63,30001-30009,10,Asia,TW,Taipei,FortiSASE
speedtest.uztelecom.uz,5200-5209,10,Asia,UZ,Tashkent,UZ Telecom
185.180.12.40,5201,2x10,Europe,AT,Vienna,DATAPACKET
iperf3-vie-at.alwyzon.net,5201-5210,2x100,Europe,AT,Vienna,Alwyzon
207.211.214.65,5201,2x10,Europe,BE,Brussels,DATAPACKET
185.3.160.57,5201-5240,,Europe,BE,Liège,VOO
37.19.203.1,5201,2x10,Europe,BG,Sofia,DATAPACKET
speedtest.shinternet.ch,5200-5209,10,Europe,CH,Schaffhausen,Sasag
speedtest.init7.net,5201-5204,20,Europe,CH,Winterthur,Init7
speedtest.iway.ch,5201,10,Europe,CH,Zürich,iWay
89.187.165.1,5201,2x10,Europe,CH,Zürich,DATAPACKET
t5.cscs.ch,5201-5203,100,Europe,CH,Zürich,CSCS
185.152.65.113,5201,2x10,Europe,CZ,Prague,DATAPACKET
a209.speedtest.wobcom.de,5201,2x25,Europe,DE,Berlin,WOBCOM
a110.speedtest.wobcom.de,5201,2x25,Europe,DE,Berlin,WOBCOM
a208.speedtest.wobcom.de,5201,2x25,Europe,DE,Düsseldorf,WOBCOM
178.215.228.109,9206-9240,,Europe,DE,Frankfurt,ESEVEN
fra.speedtest.clouvider.net,5200-5209,10,Europe,DE,Frankfurt,Clouvider
speedtest.ip-projects.de,5201,10,Europe,DE,Frankfurt,IP Projects
speedtest.fra1.de.leaseweb.net,5201-5210,10,Europe,DE,Frankfurt,LeaseWeb
spd-desrv.hostkey.com,5201-5209,10,Europe,DE,Frankfurt,HOSTKEY
a210.speedtest.wobcom.de,5201,2x25,Europe,DE,Frankfurt,WOBCOM
a205.speedtest.wobcom.de,5201,2x25,Europe,DE,Frankfurt,WOBCOM
185.102.219.93,5201,2x10,Europe,DE,Frankfurt,DATAPACKET
96.45.39.38,30001-30009,10,Europe,DE,Frankfurt,FortiSASE
speedtest.level66.services,5201-5205,10,Europe,DE,Frankfurt,level66.network
speedtest.wtnet.de,5200-5209,40,Europe,DE,Norderstedt,wilhelm.tel
speedtest.wobcom.de,5201,2x25,Europe,DE,Wolfsburg,WOBCOM
a400.speedtest.wobcom.de,5201,2x25,Europe,DE,Wolfsburg,WOBCOM
speedtest.hiper.dk,5201-5205,,Europe,DK,Copenhagen,Hiper
speed1.fiberby.dk,9201-9240,25,Europe,DK,Copenhagen,Fiberby
speed2.fiberby.dk,9201-9240,25,Europe,DK,Copenhagen,Fiberby
bwtest.linxtelecom.com,5201-5209,1,Europe,EE,Tallinn,CITIC
